text,emotion
"I'm tired of doing the same thing",boredom
"My brain feels completely exhausted",mental_fatigue
"I can’t focus anymore",mental_fatigue
"I feel drained from thinking so much",mental_fatigue
"My mind is worn out",mental_fatigue
"I feel like I need a mental break",mental_fatigue
"I'm burned out from too much work",burnout
"I feel emotionally drained",burnout
"I have no energy left to study",burnout
"I'm exhausted and unmotivated",burnout
"My motivation has completely vanished",burnout
"I feel like giving up",discouragement
"It feels pointless to continue",discouragement
"I can't see the progress",discouragement
"I'm losing hope in this",discouragement
"I feel defeated and stuck",discouragement
"I feel completely alone",loneliness
"No one seems to understand me",loneliness
"I’m isolated and disconnected",loneliness
"I feel like nobody is there for me",loneliness
"I miss having someone to talk to",loneliness
"I'm furious about what happened",anger
"I can't stand this situation",anger
"I'm irritated beyond belief",anger
"I'm annoyed with everyone right now",anger
"I feel so angry I can't think straight",anger
"I feel crushed by expectations",pressure
"There's so much I need to do and no time",pressure
"I’m under intense pressure to perform",pressure
"Everything feels urgent and stressful",pressure
"The demands are overwhelming",pressure
"I'm scared this will go wrong",fear
"I feel afraid to fail",fear
"I’m nervous about making mistakes",fear
"I'm worried about what might happen",fear
"I feel unsafe and uncertain",fear
"I feel bad for not trying harder",guilt
"I regret my actions",guilt
"I blame myself for this",guilt
"I should have done better",guilt
"I'm ashamed I let this happen",guilt
"I'm embarrassed about what I did",shame
"I feel ashamed in front of others",shame
"I keep replaying my mistakes",shame
"I feel exposed and inadequate",shame
"I'm humiliated by what happened",shame
"I'm motivated to finish my project",motivation
"I feel eager to get started",motivation
"I'm ready to tackle my tasks",motivation
"I want to make progress today",motivation
"I'm energized to work on this",motivation
"I'm fully concentrated right now",focus
"I can focus without distraction",focus
"I'm in the zone with this task",focus
"My attention is sharp",focus
"I'm deeply engaged with this work",focus
"I feel relaxed and at peace",calm
"My mind is steady and clear",calm
"I'm not worried at all",calm
"I'm calm and ready to handle this",calm
"My thoughts are centered",calm
"I believe things will work out",optimism
"I'm hopeful about the future",optimism
"I'm positive about the outcome",optimism
"I feel confident things will improve",optimism
"I’m optimistic about this situation",optimism
"I'm proud of my effort today",satisfaction
"I'm happy with what I accomplished",satisfaction
"I feel content with the results",satisfaction
"I’m pleased with my progress",satisfaction
"This went better than I expected",satisfaction
"I know I can finish this task",self_efficacy
"I'm capable of handling this challenge",self_efficacy
"I feel confident I can succeed",self_efficacy
"I have the skills to manage this",self_efficacy
"I'm able to do this effectively",self_efficacy
"I'm curious to learn more",curiosity
"This topic fascinates me",curiosity
"I want to explore this further",curiosity
"I'm eager to understand better",curiosity
"I’m intrigued by this idea",curiosity
"I'm fully involved in this work",engagement
"I’m absorbed in the task",engagement
"This is keeping me interested",engagement
"I'm actively participating",engagement
"I'm completely focused on this",engagement
"Everything makes sense now",clarity
"I understand the problem clearly",clarity
"My thoughts are clear",clarity
"I have a clear plan",clarity
"I feel mentally organized",clarity
"I'm relieved this is over",relief
"I feel a weight lifted off my shoulders",relief
"I'm glad that finished successfully",relief
"The stress is gone now",relief
"I feel lighter and calmer",relief

