Emotion,Intensity,Context,Action,Category,Reason
tiredness,low,home,light walk,physical,Boosts alertness
tiredness,high,daily,reduce screen brightness,rest,Reduces eye strain
tiredness,medium,work,deep breathing,rest,Improves oxygen flow
tiredness,low,study,organize to-do list,focus,Mental clarity
tiredness,medium,home,early bedtime plan,rest,Improves recovery
burnout,high,work,take full break,rest,Prevents mental collapse
burnout,medium,study,do one simple task,focus,Restores momentum
burnout,high,deadline,delegate or postpone,reflection,Reduces overload
burnout,medium,daily,change environment,physical,Resets mental state
burnout,low,home,creative activity,reflection,Emotional release
burnout,high,work,disconnect notifications,rest,Reduces cognitive stress
burnout,medium,study,short walk outdoors,physical,Mental refresh
burnout,low,daily,plan rest day,reflection,Prevents recurrence
burnout,medium,work,reward small wins,motivation,Encourages continuation
burnout,high,personal,seek support,social,Prevents isolation
unmotivated,high,study,5-minute rule,motivation,Lowers activation barrier
unmotivated,medium,work,visualize completion,reflection,Increases drive
unmotivated,low,daily,change task order,focus,Reduces boredom
unmotivated,high,home,remove distractions,focus,Improves initiation
unmotivated,medium,study,start with easy task,motivation,Builds momentum
unmotivated,low,daily,play energizing music,physical,Boosts dopamine
unmotivated,high,work,define clear goal,reflection,Clarifies purpose
unmotivated,medium,study,set timer,motivation,Creates urgency
unmotivated,low,home,clean small area,focus,Quick win
unmotivated,medium,daily,positive self-statement,reflection,Improves mindset
overwhelm,high,work,write everything down,reflection,Externalizes load
overwhelm,medium,study,prioritize top task,focus,Reduces complexity
overwhelm,low,daily,slow breathing,rest,Calms nervous system
overwhelm,high,deadline,ask for help,social,Reduces burden
overwhelm,medium,work,break task into steps,focus,Makes work manageable
overwhelm,low,home,declutter space,physical,Environmental clarity
overwhelm,high,study,postpone non-essential tasks,reflection,Reduces overload
overwhelm,medium,daily,short walk,physical,Mental reset
overwhelm,low,work,focus on one screen,focus,Reduces stimulation
overwhelm,medium,home,plan tomorrow simply,reflection,Restores control
confidence,high,work,tackle hardest task,focus,Leverages momentum
confidence,medium,study,teach concept aloud,reflection,Reinforces learning
confidence,low,daily,review strengths,motivation,Boosts self-belief
confidence,high,social,network outreach,social,Capitalizes confidence
confidence,medium,work,set stretch goal,motivation,Growth mindset
confidence,low,study,practice basics,focus,Stability building
confidence,high,daily,plan ahead,reflection,Strategic thinking
confidence,medium,home,organize future tasks,focus,Efficiency
confidence,low,work,small win task,motivation,Confidence rebuild
confidence,medium,daily,affirmations,reflection,Positive reinforcement
anger,high,work,step away briefly,rest,Prevents escalation
anger,medium,social,deep breathing,rest,Emotional regulation
anger,low,daily,physical movement,physical,Releases tension
anger,high,personal,write feelings uncensored,reflection,Emotional release
anger,medium,work,delay response,reflection,Prevents conflict
anger,low,home,stretching,physical,Reduces tension
anger,high,social,walk outdoors,physical,Cools emotional response
anger,medium,study,focus on neutral task,focus,Distraction
anger,low,daily,listen to calming audio,rest,Emotional soothing
anger,medium,personal,identify trigger,reflection,Improves self-awareness
self_efficacy,high,work,tackle hardest task,focus,High belief in task capability
self_efficacy,medium,study,teach concept aloud,reflection,Reinforces task mastery
self_efficacy,low,daily,review past task successes,motivation,Restores belief in ability
self_efficacy,high,social,initiate professional outreach,social,Confidence in social capability
self_efficacy,medium,work,set achievable stretch goal,motivation,Strengthens task belief
self_efficacy,low,study,practice basics deliberately,focus,Builds task competence
self_efficacy,high,daily,plan task execution steps,reflection,Strengthens control perception
self_efficacy,medium,home,organize upcoming tasks,focus,Improves readiness
self_efficacy,low,work,complete guaranteed-success task,motivation,Rebuilds task confidence
self_efficacy,medium,daily,affirm capability statements,reflection,Supports self-efficacy
motivation,high,study,start new topic,growth,High readiness to learn
motivation,medium,work,set clear task goal,leverage,Directs energy
motivation,low,daily,review purpose,maintenance,Re-centers drive
motivation,high,career,begin side project,growth,Uses intrinsic drive
motivation,medium,study,set study timer,leverage,Maintains momentum
motivation,low,home,do quick win task,maintenance,Restores motion
motivation,high,work,deep work session,challenge,Maximizes focus
motivation,medium,daily,energizing music,maintenance,Sustains energy
motivation,low,study,break task into steps,maintenance,Reduces friction
motivation,high,career,learn new skill,growth,Growth readiness
motivation,medium,work,prioritize important task,leverage,Directs effort
motivation,low,daily,visual progress tracker,maintenance,Encourages continuation
motivation,high,study,attempt practice test,challenge,Uses engagement
motivation,medium,home,prepare workspace,maintenance,Supports productivity
motivation,low,work,write task list,maintenance,Reduces inertia
motivation,high,daily,set ambitious target,growth,Harnesses drive
motivation,medium,career,update learning plan,growth,Structured growth
motivation,low,study,start with easiest task,maintenance,Builds momentum
motivation,high,work,collaborate actively,social,Shared energy
motivation,medium,daily,track completed tasks,maintenance,Positive reinforcement
motivation,high,study,teach concept,growth,Deepens understanding
motivation,medium,work,refine workflow,leverage,Efficiency boost
motivation,low,home,clean small area,maintenance,Quick progress
motivation,high,career,apply for role,growth,Action-oriented
motivation,medium,study,goal visualization,maintenance,Focus sustain
motivation,low,daily,affirm intention,maintenance,Mental reset
motivation,high,work,start creative task,challenge,Leverages energy
motivation,medium,career,plan milestones,growth,Structured ambition
motivation,low,study,review basics,maintenance,Low friction
motivation,high,daily,reflect on progress,maintenance,Encouragement
focus,high,study,deep work block,leverage,Maximizes concentration
focus,medium,work,remove distractions,maintenance,Protects attention
focus,low,daily,short planning session,maintenance,Restores direction
focus,high,career,complete complex task,challenge,Optimal cognitive state
focus,medium,study,practice recall,leverage,Efficient learning
focus,low,home,tidy desk,maintenance,Environmental clarity
focus,high,work,write uninterrupted,leverage,Flow state usage
focus,medium,daily,time-block schedule,maintenance,Attention management
focus,low,study,review highlights,maintenance,Low load focus
focus,high,career,strategic thinking session,growth,High-level planning
focus,medium,work,task batching,leverage,Efficiency improvement
focus,low,daily,breathing reset,maintenance,Attention recovery
focus,high,study,solve difficult problems,challenge,Peak cognition
focus,medium,career,review long-term plan,growth,Strategic clarity
focus,low,home,organize materials,maintenance,Preparation
focus,high,work,code/debug intensely,leverage,Productive state
focus,medium,study,active note-making,leverage,Engaged learning
focus,low,daily,check priorities,maintenance,Directional clarity
focus,high,career,decision-making session,growth,Clear thinking
focus,medium,work,reduce multitasking,maintenance,Focus protection
focus,high,study,attempt timed session,challenge,Performance simulation
focus,medium,daily,single-task focus,leverage,Efficiency
focus,low,home,prepare tomorrow list,maintenance,Reduces mental clutter
focus,high,work,analysis task,leverage,Precision usage
focus,medium,career,refine goals,growth,Focus alignment
focus,low,study,light review,maintenance,Low strain
focus,high,daily,reflect deeply,maintenance,Mental clarity
focus,medium,work,structured break,maintenance,Focus sustain
focus,low,daily,declutter digital space,maintenance,Attention support
focus,high,career,planning roadmap,growth,Strategic use
calm,high,daily,reflect on goals,maintenance,Sustains balance
calm,medium,work,thoughtful planning,growth,Clear judgment
calm,low,daily,slow breathing,maintenance,Maintains calm
calm,high,study,conceptual reading,leverage,Deep understanding
calm,medium,home,light organization,maintenance,Environmental peace
calm,low,work,brief pause,maintenance,Emotional regulation
calm,high,daily,journaling reflection,maintenance,Mindfulness
calm,medium,career,consider long-term options,growth,Strategic calm
calm,low,study,review summaries,maintenance,Low cognitive load
calm,high,work,careful decision-making,leverage,Balanced judgment
calm,medium,daily,gratitude practice,maintenance,Positive sustain
calm,low,home,tidy quietly,maintenance,Peaceful action
calm,high,study,deep comprehension reading,leverage,Optimal learning
calm,medium,career,values alignment,growth,Purpose clarity
calm,low,daily,grounding exercise,maintenance,Calm retention
calm,high,work,strategic writing,leverage,Clarity-driven output
calm,medium,study,concept mapping,leverage,Structured thinking
calm,low,home,slow stretch,maintenance,Physical calm
calm,high,daily,meditative walk,maintenance,Sustains equilibrium
calm,medium,career,plan transitions,growth,Measured planning
calm,high,study,reflective review,leverage,Insight building
calm,medium,work,thoughtful feedback,growth,Effective communication
calm,low,daily,soft music,maintenance,Emotional balance
calm,high,career,decision reflection,growth,Wise choices
calm,medium,study,slow practice,leverage,Precision
calm,low,home,light cleaning,maintenance,Order maintenance
calm,high,daily,intent setting,maintenance,Directional calm
calm,medium,career,priority refinement,growth,Clarity
calm,low,study,review diagrams,maintenance,Low effort learning
calm,high,work,focused planning,leverage,Clear execution
optimism,high,career,apply for opportunity,growth,Positive expectation
optimism,medium,work,propose improvement,growth,Future focus
optimism,low,daily,affirm progress,maintenance,Maintains outlook
optimism,high,study,start new module,growth,Confidence in outcome
optimism,medium,career,skill exploration,growth,Growth mindset
optimism,low,daily,gratitude note,maintenance,Positive reinforcement
optimism,high,work,innovative thinking,challenge,Creative leverage
optimism,medium,study,set learning goals,growth,Forward orientation
optimism,low,home,positive reflection,maintenance,Mood sustain
optimism,high,daily,vision planning,growth,Long-term optimism
satisfaction,high,daily,celebrate small win,maintenance,Reinforces success
satisfaction,medium,work,document success,maintenance,Confidence archive
satisfaction,low,daily,acknowledge effort,maintenance,Self-recognition
satisfaction,high,study,review achievements,maintenance,Encouragement
satisfaction,medium,career,reflect on progress,growth,Motivational clarity
satisfaction,low,home,relax briefly,maintenance,Contentment sustain
satisfaction,high,work,share success,social,Positive reinforcement
satisfaction,medium,daily,goal adjustment,growth,Progress alignment
satisfaction,low,study,light review,maintenance,Stability
satisfaction,high,career,plan next goal,growth,Forward momentum
optimism,medium,daily,positive self-talk,maintenance,Mental framing
optimism,high,work,lead initiative,growth,Confidence projection
optimism,low,home,quiet reflection,maintenance,Stability
optimism,high,career,strategic risk-taking,challenge,Positive risk
optimism,medium,study,explore advanced topics,growth,Curiosity-driven
optimism,low,daily,affirm intention,maintenance,Outlook support
satisfaction,high,daily,rest mindfully,maintenance,Healthy closure
satisfaction,medium,work,process learning,maintenance,Knowledge retention
satisfaction,low,study,acknowledge effort,maintenance,Self-compassion
satisfaction,high,career,set next milestone,growth,Continuous progress
frustration,high,work,step away briefly,rest,Prevents escalation
frustration,medium,study,identify exact blocker,reflection,Clarifies problem
frustration,low,daily,stretch arms and shoulders,physical,Releases tension
frustration,high,study,switch to easier task,focus,Restores momentum
frustration,medium,work,write problem in steps,reflection,Reduces mental load
frustration,low,home,change environment,physical,Resets mindset
confusion,high,study,rewrite problem in own words,reflection,Improves understanding
confusion,medium,work,seek clarification, social,Reduces uncertainty
confusion,low,daily,review definitions,focus,Restores clarity
confusion,high,study,watch short explanation,focus,Alternative perspective
confusion,medium,work,draw simple diagram,reflection,Visual clarification
confusion,low,home,slow reread,focus,Reduces misinterpretation
guilt,high,personal,write self-forgiveness note,reflection,Reduces self-criticism
guilt,medium,daily,identify lesson learned,reflection,Constructive reframing
guilt,low,work,correct small mistake,focus,Restores agency
guilt,high,study,reset expectations,reflection,Reduces emotional burden
guilt,medium,home,make amends if possible,social,Restores integrity
guilt,low,daily,affirm human imperfection,reflection,Self-compassion
shame,high,personal,grounding exercise,rest,Reduces emotional intensity
shame,medium,study,remind effort made,reflection,Counters negative self-view
shame,low,daily,posture and breathing reset,physical,Improves self-perception
shame,high,social,delay reaction,rest,Prevents withdrawal
shame,medium,work,focus on task facts,focus,Reduces self-judgment
shame,low,home,private journaling,reflection,Emotional processing
boredom,high,study,change task format,focus,Re-engages attention
boredom,medium,work,set short challenge, motivation,Adds stimulation
boredom,low,daily,stand and move,physical,Boosts alertness
boredom,high,home,start timer-based task,focus,Creates urgency
boredom,medium,study,interleave topics,focus,Improves engagement
boredom,low,work,quick win task,motivation,Restores interest
pressure,high,work,prioritize top task,focus,Reduces overload
pressure,medium,study,define minimum requirement,reflection,Lowers stakes
pressure,low,daily,slow breathing,rest,Regulates stress
pressure,high,deadline,ask for extension,social,Reduces burden
pressure,medium,work,break task down,focus,Makes task manageable
pressure,low,home,plan next step only,reflection,Reduces anticipatory stress
fear,high,work,delay major decision,rest,Prevents impulsive action
fear,medium,study,practice in safe environment,focus,Builds confidence
fear,low,daily,affirm capability,reflection,Reduces avoidance
fear,high,social,prepare response in advance,reflection,Reduces anxiety
fear,medium,work,seek reassurance,social,Builds safety
fear,low,home,visualize success,reflection,Encourages approach
discouragement,high,study,review past progress,reflection,Restores hope
discouragement,medium,work,do one small task,motivation,Rebuilds momentum
discouragement,low,daily,acknowledge effort,reflection,Validates persistence
discouragement,high,career,seek feedback,social,Provides perspective
discouragement,medium,study,lower task difficulty,focus,Prevents disengagement
discouragement,low,home,rest briefly,rest,Emotional recovery
mental_fatigue,high,work,full break,rest,Prevents burnout
mental_fatigue,medium,study,passive review,focus,Low cognitive demand
mental_fatigue,low,daily,hydration,rest,Supports cognition
mental_fatigue,high,study,stop and resume later,rest,Prevents overload
mental_fatigue,medium,work,stretch neck and back,physical,Improves circulation
mental_fatigue,low,home,reduce stimulation,rest,Supports recovery
